seed,method,price,error,acceptance_rate,time,iat,ess
42,RWMH,10.759077745844793,0.3084941736592288,0.5921,0.8432979583740234,10.0,2000.0
42,MTM-K2,10.274955401319788,0.1756281708657763,0.7215,5.736843109130859,6.0,3333.3333333333335
42,MTM-K4,10.357254506877592,0.09332906530797302,0.80395,9.22219467163086,5.0,4000.0
42,MTM-K8,10.574052295185146,0.123468722999581,0.84975,15.664259433746338,5.0,4000.0
43,RWMH,10.951456361469853,0.5008727892842888,0.5941,0.8220140933990479,9.0,2222.222222222222
43,MTM-K2,10.396168866353324,0.05441470583224017,0.7211,5.597486734390259,6.0,3333.3333333333335
43,MTM-K4,10.641837838816475,0.19125426663091005,0.7964,8.968891859054565,6.0,3333.3333333333335
43,MTM-K8,10.385047545853572,0.0655360263319924,0.8464,15.3595609664917,5.0,4000.0
44,RWMH,10.872992447773754,0.4224088755881894,0.5917,0.8169417381286621,8.0,2500.0
44,MTM-K2,10.755550625024465,0.3049670528389008,0.7301,5.585857391357422,7.0,2857.1428571428573
44,MTM-K4,10.395515579127892,0.05506799305767274,0.80215,8.959419012069702,5.0,4000.0
44,MTM-K8,10.527572643359765,0.07698907117420006,0.8455,15.546630859375,6.0,3333.3333333333335
45,RWMH,10.704167791129908,0.2535842189443436,0.59315,0.8209199905395508,8.0,2500.0
45,MTM-K2,10.645728075011375,0.1951445028258103,0.72435,5.4842212200164795,6.0,3333.3333333333335
45,MTM-K4,10.848034594393427,0.39745102220786244,0.79895,8.994580268859863,7.0,2857.1428571428573
45,MTM-K8,10.423393492630687,0.0271900795548774,0.8528,15.53609013557434,5.0,4000.0
46,RWMH,10.168610043328462,0.2819735288571028,0.5923,0.8223843574523926,9.0,2222.222222222222
46,MTM-K2,10.554047032141085,0.10346345995552042,0.7218,5.658336162567139,5.0,4000.0
46,MTM-K4,10.316930930124327,0.13365264206123761,0.80055,9.076215028762817,6.0,3333.3333333333335
46,MTM-K8,10.143483536864592,0.30710003532097296,0.85055,15.604294300079346,6.0,3333.3333333333335
